transcript_id,batch1,batch2,chem1,chem2
YAL064W-B_mRNA,3,5,3,4
YAL063C_mRNA,14,19,15,29
YAL062W_mRNA,73,100,1018,1328
YAL059C-A_mRNA,0,0,0,0
YAL056C-A_mRNA,0,0,0,0
YAL061W_mRNA,161,150,751,1095
YAL060W_mRNA,1568,2343,1380,1458
YAL059W_mRNA,452,684,175,285
YAL058W_mRNA,340,543,204,216
YAL056W_mRNA,373,517,499,668
YAL055W_mRNA,28,44,67,65
YAL054C_mRNA,159,184,11934,14059
YAL053W_mRNA,1174,1377,1106,1115
YAL047W-A_mRNA,0,0,0,0
YAL044W-A_mRNA,0,0,0,0
YAL042W_mRNA,0,0,0,0
YAL031C_mRNA,0,0,5,0
YAL051W_mRNA,411,557,293,417
YAL049C_mRNA,599,596,567,895
YAL048C_mRNA,213,253,256,275
YAL047C_mRNA,165,245,168,187
YAL046C_mRNA,222,279,215,261
YAL045C_mRNA,155,264,244,307
YAL044C_mRNA,1991,2633,1116,1080
YAL043C_mRNA,552,764,470,564
YAL042C-A_mRNA,2135,3113,1050,1090
YAL041W_mRNA,610,849,447,500
YAL040C_mRNA,582,913,341,414
YAL039C_mRNA,486,571,387,450
YAL038W_mRNA,25962,36530,9762,15001
YAL037C-B_mRNA,11,50,2,5
YAL037C-A_mRNA,6,9,1,2
YAL037W_mRNA,96,115,58,81
YAL036C_mRNA,872,1261,441,460
YAL035W_mRNA,3779,6189,2152,2547
YAL034C-B_mRNA,42,209,109,141
YAL034W-A_mRNA,121,0,0,0
YAL034C_mRNA,191,213,489,640
YAL033W_mRNA,255,407,111,142
YAL032C_mRNA,174,249,284,316
YAL031W-A_mRNA,385,404,277,322
YAL030W_mRNA,206,310,325,392
YAL029C_mRNA,1341,1917,515,603
YAL028W_mRNA,80,105,125,113
YAL027W_mRNA,736,954,695,726
YAL026C-A_mRNA,330,557,87,148
YAL026C_mRNA,22,49,18,28
HRA1_ncRNA,18,33,6,11
YAL025C_mRNA,1123,1545,429,596
YAL024C_mRNA,326,528,217,293
YAL023C_mRNA,3362,4781,1171,1275
YAL022C_mRNA,461,671,300,340
YAL021C_mRNA,700,1082,589,613
YAL020C_mRNA,281,386,206,195
YAL019W-A_mRNA,1,2,0,0
YAL019W_mRNA,873,1469,400,516
YAL018C_mRNA,12,2,21,29
YAL017W_mRNA,664,949,833,1178
YAL016C-B_mRNA,18,12,17,30
YAL016W_mRNA,0,0,0,0
YAL016C-A_mRNA,1148,1410,1359,1750
YAL015C_mRNA,344,383,285,367
YAL014C_mRNA,349,409,203,268
YAL013W_mRNA,541,640,447,518
YAL012W_mRNA,3233,4516,941,1163
YAL011W_mRNA,312,488,300,322
YAL010C_mRNA,205,291,254,280
YAL009W_mRNA,319,351,250,310
YAL008W_mRNA,239,237,427,593
YAL007C_mRNA,962,1373,337,339
YAL004W_mRNA,0,0,0,0
