Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL064W-B	-	chrI	+	12046	12426	0.732284	81.669807	138.144745
YAL063C	FLO9	chrI	-	24000	27968	0.544596	60.737438	102.737572
YAL062W	GDH3	chrI	+	31567	32940	72.489082	8084.526367	13675.002930
STRG.1	-	chrI	+	31567	32940	72.489082	8084.526367	13675.002930
YAL061W	BDH2	chrI	+	33448	34701	65.451355	7299.626465	12347.342773
YAL060W	BDH1	chrI	+	35155	36303	95.112274	10607.635742	17942.849609
YAL059C-A	-	chrI	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	chrI	+	36509	37147	33.392799	3724.216064	6299.523926
YAL058W	CNE1	chrI	+	37464	38972	10.555099	1183.135010	2001.276733
YAL056C-A	-	chrI	-	38696	39046	1.202690	134.133026	226.886444
YAL056W	GPB2	chrI	+	39259	41901	18.942112	2112.566406	3573.413330
YAL055W	PEX22	chrI	+	42177	42719	8.870729	996.764221	1686.030029
YAL054C	ACS1	chrI	-	42881	45022	492.252106	54899.648438	92862.937500
STRG.2	-	chrI	+	33448	34701	65.451355	7299.626465	12347.342773
STRG.3	-	chrI	+	35155	36303	95.112274	10607.635742	17942.849609
STRG.4	-	chrI	+	36509	37147	33.392799	3724.216064	6299.523926
STRG.5	-	chrI	+	37464	38972	10.555099	1183.135010	2001.276733
STRG.6	-	chrI	+	39259	41901	18.942112	2112.566406	3573.413330
STRG.7	-	chrI	+	42177	42719	8.870729	996.764221	1686.030029
STRG.8	-	chrI	-	42881	45022	492.252106	54899.648438	92862.937500
YAL053W	FLC2	chrI	+	45899	48250	35.538265	3963.493896	6704.263184
YAL051W	OAF1	chrI	+	48564	51707	9.942748	1108.889893	1875.690918
YAL049C	AIM2	chrI	-	51855	52595	90.561401	10100.087891	17084.330078
YAL048C	GEM1	chrI	-	52801	54789	10.347914	1154.077026	1952.125122
YAL047W-A	-	chrI	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	chrI	-	54989	56857	7.469235	833.025085	1409.064819
YAL046C	BOL3	chrI	-	57029	57385	54.717087	6102.460449	10322.332031
YAL045C	-	chrI	-	57488	57796	11.246805	5562.086426	9408.287109
YAL044W-A	BOL1	chrI	+	57518	57850	60.514996	6749.086426	11416.102539
YAL044C	GCV3	chrI	-	57950	58462	157.849899	17605.474609	29779.718750
YAL043C	PTA1	chrI	-	58695	61052	17.935539	2000.306030	3383.524170
YAL042C-A	-	chrI	-	61231	61608	13.764349	1535.103516	2596.632568
YAL042W	ERV46	chrI	+	61316	62563	63.701866	7218.455078	12210.040039
YAL041W	CDC24	chrI	+	62840	65404	14.613646	1629.823364	2756.851807
YAL040C	CLN3	chrI	-	65778	67520	17.788870	1983.948364	3355.855225
YAL039C	CYC3	chrI	-	68716	69525	41.623455	4642.160156	7852.229492
STRG.9	-	chrI	+	45899	48250	35.538265	3963.493896	6704.263184
STRG.10	-	chrI	+	48564	51707	9.942748	1108.889893	1875.690918
STRG.11	-	chrI	-	51855	52595	90.561401	10100.087891	17084.330078
STRG.12	-	chrI	-	52801	54789	10.347914	1154.077026	1952.125122
STRG.13	-	chrI	-	54989	56857	7.469235	833.025085	1409.064819
STRG.14	-	chrI	-	57029	57385	54.717087	6102.460449	10322.332031
STRG.15	-	chrI	-	57488	57796	11.246805	5562.086426	9408.287109
STRG.16	-	chrI	+	57518	57850	60.514996	6749.086426	11416.102539
STRG.17	-	chrI	-	57950	58462	157.849899	17605.474609	29779.718750
STRG.18	-	chrI	-	58695	61052	17.935539	2000.306030	3383.524170
STRG.19	-	chrI	-	61231	61608	13.764349	1535.103516	2596.632568
